ID,四川话原句,称谓,命中称谓,称谓类型,称谓类型中文,模型1输出,模型2输出,模型3输出,称谓翻译结果,错误类型,分析备注,input_file,utt_or_id,filename,source_file,matched_terms_original,text_length,pred_english_lora_mbart
ADDR_001,所以说养成老习惯的看到老严来了他本人心中有个这个习惯甚至就是不是自己屋头的亲生妈老汉儿他,妈老汉儿,妈老汉儿 老汉儿 老汉 妈,kinship,亲属称谓,,,,,,,train_9800,0131655215_y5LD4_109_7840,0131655215_y5LD4_109_7840.wav,wsc_train_audio_text.tsv.gz,妈老汉儿 自己 这个 本人 他,44,"So he said that he had a habit in his own mind, even if it was not his own home."
ADDR_002,嫂子在扣你吗我一天是管不住他我喊大姐过过来制止他这摔摔摔老汉儿,老汉儿,老汉儿 老汉 大姐 嫂子,kinship,亲属称谓,,,,,,,train_9800,013165531783_pydL0_4_6420,013165531783_pydL0_4_6420.wav,wsc_train_audio_text.tsv.gz,老汉儿 大姐 嫂子 你 我 他,31,"My sister is holding you? I can't handle him one day, and I call my grandmother to stop him."
ADDR_003,其实我对你也没得啥子要求的就像你看到的那个像我老汉儿对我妈恁个好就行了,老汉儿,老汉儿 老汉 妈,kinship,亲属称谓,,,,,,,train_9800,013165464118_5J9OE_15_7140,013165464118_5J9OE_15_7140.wav,wsc_train_audio_text.tsv.gz,老汉儿 那个 你 我 妈,35,"In fact, I don't have anything to ask of you, like the one you saw, like my old man, is good for my mother."
ADDR_004,你老汉儿不傻眼泪只是有点儿发披风哟西,老汉儿,老汉儿 老汉,kinship,亲属称谓,,,,,,,train_9800,013165533303_1AfVc_22_5780,013165533303_1AfVc_22_5780.wav,wsc_train_audio_text.tsv.gz,老汉儿 你,18,"You don't have tos, you just have a little bit of tears."
ADDR_005,老汉儿天气越来冷了哈是农村比城头要低两对儿,老汉儿,老汉儿 老汉,kinship,亲属称谓,,,,,,,train_9800,016000181362_uIDYs_5_5900,016000181362_uIDYs_5_5900.wav,wsc_train_audio_text.tsv.gz,老汉儿,21,"It's getting cold, it's two times lower in the country than in the city."
ADDR_006,哎呀娃娃对不对嘛脱脂开汗其实老汉儿也着急坏说转来,老汉儿,老汉儿 老汉,kinship,亲属称谓,,,,,,,train_9800,01316552094_2CnlA_103_6100,01316552094_2CnlA_103_6100.wav,wsc_train_audio_text.tsv.gz,老汉儿 娃娃,24,"Oh, isn't it right to get rid of fat and sweat?"
ADDR_007,说你瓜你就瓜半夜起来烧院把人家的婆娘你喊妈李百姓把我拉到,婆娘,婆娘 妈,kinship,亲属称谓,,,,,,,train_9800,013165528200_N83ZB_100_8080,013165528200_N83ZB_100_8080.wav,wsc_train_audio_text.tsv.gz,人家 婆娘 你 我 妈,28,"When you say you're going to get up in the middle of the night and burn the house, you call the people and drag me to the house."
ADDR_008,所以学到这个知识还是有好处别人两口子怄气你今天突然回去刚刚才进门才进院吧在小区门口就听到你婆娘的声音老子不得怕你死娃子随便你随便你,婆娘,婆娘 两口子,kinship,亲属称谓,,,,,,,train_9800,sc0005379_507550_520900,sc0005379_507550_520900.wav,wsc_train_audio_text.tsv.gz,两口子 死娃子 老子 这个 别人 婆娘 你,65,"So it's good to learn this knowledge, because you're both angry and angry. You're going home today, and you've just entered the house. At the door of the neighborhood, you hear your grandmother's voice."
ADDR_009,嘿老头头啷个回事我婆娘啷个杀了一个啊阿伦哪个飞到天上去了呀哎呀忙碌了一天又要结束了女儿先快点进棚棚嘿狗儿爬开老子关门了关了关紧回去我婆娘还在屋头给我炖猪脚杆我炖猪脚干,婆娘,婆娘 女儿,kinship,亲属称谓,,,,,,,train_9800,sc1002993_25170_40670,sc1002993_25170_40670.wav,wsc_train_audio_text.tsv.gz,老子 哪个 老头 婆娘 女儿 我,83,"Hey old man, what's going on? My grandmother's killing a man, who's flying to heaven? Oh, the day's work is over, my daughter, hurry up and go to the shelter."
ADDR_010,求那些师傅啊张娘王娘李婆婆帮忙找七十岁以上的就是妈老汉儿做主,妈老汉儿,妈老汉儿 老汉儿 老汉 婆婆 妈,kinship,亲属称谓,,,,,,,train_9800,013165443988_ID2ls_56_8900,013165443988_ID2ls_56_8900.wav,wsc_train_audio_text.tsv.gz,妈老汉儿 婆婆 师傅 娘,30,"Ask those who are masters, to the master of the master's house, who is over seventy years old."
