ID,四川话原句,en_gold_human,称谓,命中称谓,称谓类型,称谓类型中文,nllb_bs
ADDR_001,所以说养成老习惯的看到老严来了他本人心中有个这个习惯甚至就是不是自己屋头的亲生妈老汉儿他,parents,妈老汉儿,妈老汉儿 老汉儿 老汉 妈,kinship,亲属称谓,"So to say that a person who is accustomed to growing old to see old age come into his own mind, this habit is not even the firstborn of his own household."
ADDR_002,嫂子在扣你吗我一天是管不住他我喊大姐过过来制止他这摔摔摔老汉儿,dad,老汉儿,老汉儿 老汉 大姐 嫂子,kinship,亲属称谓,I couldn't handle him one day I yelled at my older sister to stop him from wrestling.
ADDR_003,其实我对你也没得啥子要求的就像你看到的那个像我老汉儿对我妈恁个好就行了,dad,老汉儿,老汉儿 老汉 妈,kinship,亲属称谓,"In fact, I didn't have to ask you to be as kind as the old man you saw did to me."
ADDR_004,你老汉儿不傻眼泪只是有点儿发披风哟西,dad,老汉儿,老汉儿 老汉,kinship,亲属称谓,"You're an old man with no eyes, just a little wiggy hair."
ADDR_005,老汉儿天气越来冷了哈是农村比城头要低两对儿,dad,老汉儿,老汉儿 老汉,kinship,亲属称谓,"The weather is getting colder and colder, so the countryside is two pairs lower than the city."
ADDR_006,哎呀娃娃对不对嘛脱脂开汗其实老汉儿也着急坏说转来,dad,老汉儿,老汉儿 老汉,kinship,亲属称谓,"The dolls didn't like the idea of losing fat and sweating, in fact, the old guys were also eager to come back."
ADDR_007,说你瓜你就瓜半夜起来烧院把人家的婆娘你喊妈李百姓把我拉到,wife,婆娘,婆娘 妈,kinship,亲属称谓,"You say you're a fool, you're a fool, you get up in the middle of the night and burn the hospital down, you kill the family's daughter-in-law, you scream, and the people drag me out."
ADDR_008,所以学到这个知识还是有好处别人两口子怄气你今天突然回去刚刚才进门才进院吧在小区门口就听到你婆娘的声音老子不得怕你死娃子随便你随便你,wife,婆娘,婆娘 两口子,kinship,亲属称谓,So learning this knowledge is still beneficial for two other people's spirits. You suddenly came back today and just walked in and entered the hospital. At the entrance to the neighborhood you heard the voice of your daughter-in-law.
ADDR_009,嘿老头头啷个回事我婆娘啷个杀了一个啊阿伦哪个飞到天上去了呀哎呀忙碌了一天又要结束了女儿先快点进棚棚嘿狗儿爬开老子关门了关了关紧回去我婆娘还在屋头给我炖猪脚杆我炖猪脚干,wife,婆娘,婆娘 女儿,kinship,亲属称谓,"My mother-in-law and daughter-in-law killed one, Aaron, who flew to heaven, a busy day to end, and my daughter's first step into the shed."
ADDR_010,求那些师傅啊张娘王娘李婆婆帮忙找七十岁以上的就是妈老汉儿做主,parents,妈老汉儿,妈老汉儿 老汉儿 老汉 婆婆 妈,kinship,亲属称谓,Ask those teachers to help you find a master who is over seventy years old.
