四川话原句,mbart_translation
所以说养成老习惯的看到老严来了他本人心中有个这个习惯甚至就是不是自己屋头的亲生妈老汉儿他,"He had a habit in his own heart, even if it wasn't his mother-in-law who lived at home."
嫂子在扣你吗我一天是管不住他我喊大姐过过来制止他这摔摔摔老汉儿,My sister is holding you I can't handle him one day I called my older sister over to stop him from falling and falling old man
其实我对你也没得啥子要求的就像你看到的那个像我老汉儿对我妈恁个好就行了,"In fact, I don't have to ask you anything. Just like the old man you saw is good for my mom"
你老汉儿不傻眼泪只是有点儿发披风哟西,You old man are not silly tears just a little bit of hair
老汉儿天气越来冷了哈是农村比城头要低两对儿,The colder the weather gets. It's two times lower in the country than in the city
哎呀娃娃对不对嘛脱脂开汗其实老汉儿也着急坏说转来,"Oh, doll is not right to get rid of fat and sweat"
说你瓜你就瓜半夜起来烧院把人家的婆娘你喊妈李百姓把我拉到,"When you say you're cutting, you get up in the middle of the night and burn the house You call your mother-in-law Li People drag me to"
所以学到这个知识还是有好处别人两口子怄气你今天突然回去刚刚才进门才进院吧在小区门口就听到你婆娘的声音老子不得怕你死娃子随便你随便你,So it's good to learn about this knowledge. The other two are angry. You're going home today. Just before you enter the house. At the door of the neighborhood
嘿老头头啷个回事我婆娘啷个杀了一个啊阿伦哪个飞到天上去了呀哎呀忙碌了一天又要结束了女儿先快点进棚棚嘿狗儿爬开老子关门了关了关紧回去我婆娘还在屋头给我炖猪脚杆我炖猪脚干,"Hey old man hey hey my grandmother's been killing me Oh, Alan who's flying to the sky Oh, busy day and it's over Daughter"
求那些师傅啊张娘王娘李婆婆帮忙找七十岁以上的就是妈老汉儿做主,Look for those masters!Mrs. Zhang and Wang and Li's mother-in-law are looking for masters who are older than seventy
第二天上妆更服帖耶你个婆娘还懂得享受啊啊,The next day dress up more and more. You are a grandmother who knows how to enjoy
嗯嗯多少整哎呀哎做起简单好生学哦说了我找婆娘要得,"Well Well How good is it? Oh, I'm going to find my grandmother"
再批话惨你两耳屎来堂客吃饭还是热和的搞快点吃等下冷噶了了了,No more bullshit! You're going to eat your guests or are you going to be hot?
哪里的酒美心哦我中午没得没吃酒是哪个老杂皮在和你堂客在吃我劝都劝不住,Where's the good wine Oh I don't have to eat no wine at noon Which old man is eating with your priests I can't help it
这个跟工大建那个堂客赖上了各人心头都有点着急生怕百姓误会了正在那个时候从屋头就出来一个老者把堂客都往屋头推都说吹点儿进屋去不要在那里丢人了然后就给跟公达说了个牙呀请进一步说话,The worker and the builder The guest was overwhelmed with all sorts of feelings. He was afraid the people would be mistaken. At that time he came out
葫芦娃葫芦娃一个挂上七个藤啦啦啦哎老婆你咋求妈妈回去住两天屋头去住两天,"A gourd a gourd with seven branches hanging on it Oh, my wife! Why do you ask your mother to come back and stay for two days"
可以照顾妈妈我跟婆婆两个人就来砍油菜,I can take care of my mother-in-law and two of my grandmothers come to cut oil vegetables
我婆婆妈也在楼上帮忙有点安慰安快阿姨,My mother-in-law is also helping upstairs to comfort Aunt Ann.
李婆婆哦嘿人家觉得娃娃对咋子咹回来看爸嘛哎呀想到我妈他们那样的,"My mother-in-law Oh, hey, people think that the doll is a good thing and come back to see my father Oh, they think that my mother is like them"
一手将鱼是是是我晓得你老大姐的爸爸没得落户,I know your elder sister's father doesn't have to go home.
爸爸好爸爸哎来了要来要来了小米阿姨你好呀好乖哦,"Father is good Dad Oh come here Come here Auntie Miao Hello, dear"
不是我爸爸拿回来我爸爸拿回的嗯不是是我阿姨让父亲怎么说,"It's not my father it's my father. Well, it isn't my aunt."
那张丽的爸爸妈妈呢都是成都市的政府干部好来源于政府家庭她从小呢这个家教也非常严好她以前喃呢,"Li's parents were city officials and came from the government family. She was a child, and her schooling was very strict."
Um妈妈妈妈啊啦啦啦妈妈谢谢OhUm嗯Um嗯好的不是Um爸爸嗯不是快点AUm来好Yeah嗯加油嗯拜拜嗯Um好OhUm,Um Mom ah ah ah Thank you Oh Um Um Um Okay Not Um Dad Uh Not Hurry up Aum Come on GoodYeah Well Bye Bye Um Um Yeah
耗子哥哥我把妈妈找回来了我还会游人嘞你看我还会这样丢,"Brother, I'll find my mother again.I'll be there for a while and you'll see me lose it like this"
你又无法理解跟我们爸跟我们妈妈摆龙门阵或时说我在给我们妈摆龙门阵已经不一样了,You can't understand that I'm not the same as my dad and my mom or when I said I was different from my mom
属于妈老汉太能干的娃娃公正点说除了读书读得起我们不管哈他,It's just that we don't care about him except if he can read
就喊妈老汉出点钱屋子出点钱出去留个学是么这反正时差都倒倒一样样,Just call your mother and old man to get some money out of the house
出去妇女稀班巴王的回来手手都不想洗想抓了个饭菜吃老妈呢最后老汉拿帕子把它俩撞两下嘛硬是稀脏八脏的的,"When the woman went out and came back, her hands didn't want to wash because they were trying to grab a meal for their old mother. And finally, the old Hana"
