source_file,utt_or_id,filename,text,matched_terms,mandarin,english,,,,,,,
wsc_train_audio_text.tsv.gz,704219202372_Al7Ir_22_3640,704219202372_Al7Ir_22_3640.wav,我是捡镜子的命法莫法生了这个命哦命哦,这个 我,我这是捡镜子的命，没办法，生来就是这个命啊。,I guess this is my fate—to pick up mirrors. There is nothing I can do; I was born with this lot.,,,,,,,
wsc_train_audio_text.tsv.gz,cq0034024_86130_88550,cq0034024_86130_88550.wav,谢谢谢谢李婆婆,婆婆,谢谢，谢谢李婆婆。,"Thank you, Grandma Li.",,,,,,,
wsc_train_audio_text.tsv.gz,cq0034279_0_9560,cq0034279_0_9560.wav,我有几个朋友都强烈推荐他们家的小面说海椒香得很点一碗干的大款来搞哈调料就是这几种也不复杂没得芝麻酱酱,他们 朋友 我,我有几个朋友都强烈推荐他们家的小面，说辣椒特别香。点一碗干拌的大碗面来尝一下，调料就是这几种，也不复杂，没有芝麻酱。,"Several of my friends strongly recommended their noodles, saying the chili is very fragrant. Order a large bowl of dry-mixed noodles and try it; the seasonings are just these few, not complicated, and there is no sesame paste.",,,,,,,
wsc_train_audio_text.tsv.gz,009590040836_081Fw_133_6040,009590040836_081Fw_133_6040.wav,完全由个人的爱好来决定你可以两样都做一次,个人 你,完全由个人爱好来决定，你可以两样都做一次。,It is entirely up to personal preference; you can try both once.,,,,,,,
wsc_train_audio_text.tsv.gz,013165474887_FObja_46_5940,013165474887_FObja_46_5940.wav,真的还是碰对了伸手又把三筒摸回来这一下这个痛青就稳当了,这个,真的还是碰对了，伸手又把三筒摸回来，这一下这把筒子清一色就稳当了。,"That was the right Pong. I got the 3-dot right back, so this clean dot-suit hand is solid now.",,,,,,,
wsc_train_audio_text.tsv.gz,sc0029583_394550_414460,sc0029583_394550_414460.wav,给大家呢就是嗯普及一些知识就想说一下四川目前的民用机场那大家晓得哈四川航空呢其实是一个非常优秀的团体我在以前节目中给就给大家介绍过就是英雄机长刘川建他是凭借自己无比的勇气和高超的技术在高空中就是,自己 大家 我 他,给大家普及一些知识，想说一下四川目前的民用机场。大家知道，四川航空其实是一个非常优秀的团队。我以前节目中也给大家介绍过英雄机长刘传健，他凭借自己无比的勇气和高超的技术，在高空中……,"Let me share some knowledge and talk about Sichuan’s current civil airports. As you know, Sichuan Airlines is actually an excellent team. I introduced the heroic captain Liu Chuanjian in a previous episode; with tremendous courage and superb skill, he was able to act at high altitude...",,,,,,,
wsc_train_audio_text.tsv.gz,009590040281_eNlFQ_14_5760,009590040281_eNlFQ_14_5760.wav,那个时候大人忙农活和家务孩子呢不仅打不上手,那个,那个时候，大人忙农活和家务，孩子不仅帮不上忙。,"At that time, the adults were busy with farm work and housework, and the children could not really help.",,,,,,,
wsc_train_audio_text.tsv.gz,cq0108104_44330_60090,cq0108104_44330_60090.wav,如果有买期房的朋友哪些房企的房产具有风险性我前一个视频发了但被和谐掉了在这里如果有需要知道哪些有风险的放弃的,哪些 朋友 我,如果有买期房的朋友，哪些房企的房产存在风险？我前一个视频发过，但被和谐掉了。在这里，如果有需要知道哪些有风险的房企……,"For friends who have bought presale homes, which developers’ properties carry risks? I posted about it in a previous video, but it was taken down. If anyone still needs to know which developers are risky...",,,,,,,
wsc_train_audio_text.tsv.gz,cq0039610_103470_119140,cq0039610_103470_119140.wav,这就有点无聊了要说保卫自己的领土激战一把哎倒也无所谓了赖在人家地盘死活都不走那个鬼子们还真的是干得出来得出来,自己 那个 人家,这就有点无聊了。要说保卫自己的领土，激战一场倒也无所谓；赖在人家地盘上死活都不走，那些鬼子们还真是干得出来。,"This is ridiculous. If they were defending their own territory, even a fierce fight would be one thing; but digging in on someone else’s land and refusing to leave is exactly the sort of thing those invaders would do.",,,,,,,
wsc_train_audio_text.tsv.gz,sc0000460_1627380_1640180,sc0000460_1627380_1640180.wav,啊就相当于民间的二人转的啊那么就写点这些啊比如说你要形容美女啊我以前都在说过哈长得来千娇百媚哈媚哈,美女 你 我,这就相当于民间的二人转。比如说，要形容美女，我以前都说过，可以说她长得千娇百媚。,"This is similar to folk duet performance. For example, when describing a beautiful woman, as I have said before, you can say she is charming and beautiful in every way.",,,,,,,
