source_file,utt_or_id,filename,text,matched_terms,mandarin,pseudo_english_nllb
wsc_train_audio_text.tsv.gz,cq00015015_65860_81310,cq00015015_65860_81310.wav,老房子家具家电齐全直接就可以拎包入住这个位置这个户型这个装修你们喜欢吗喜欢的话记到联系我哟上汤谁人生的第一套房不是倾其所有掏空了钱包虽然有点慌张但你有家了而且有家的感觉真的很好,你们 这个 你 我,老房子家具家电齐全，可以直接拎包入住。这个位置、这个户型、这个装修，你们喜欢吗？如果喜欢的话记得联系我哦。上汤来说，人生的第一套房是倾其所有的，虽然掏空了钱包会有点慌张，但是有了家的感觉真的很好。,"The old house furniture is full of electricity and can be directly packed in. This place, this outfit, this decoration, do you like it? If you like, remember to contact me."
wsc_train_audio_text.tsv.gz,cq00009746_159450_171270,cq00009746_159450_171270.wav,反正他车在那里放着也是放着租不出去也损失了那么我粉丝比如说正常正常a六该住六百一天的该住五百一天的啊正常a六该住六五百一天的那么愿意如果说愿意租出来愿意租给粉丝丝,粉丝 我 他,反正他的车放在那里也是放着，租不出去也会有损失。比如我的粉丝，比如说正常的A6应该住600一天的，可以优惠到500一天。正常的A6应该住600一天的，如果粉丝们愿意的话，就愿意把车租给他们。,"Instead of his car being left there, it's also a loss. My fans, for example, say a normal A6 should be 600 a day, can get up to 500 a day."
wsc_train_audio_text.tsv.gz,cq00001785_7080_20010,cq00001785_7080_20010.wav,客户直接问一下那是你们幺儿吗你说我哪儿像那长得像那个同事他们妈咹我到底比他老好多你们说我看起像好多岁了你们来猜一哈我的年龄的年龄,他们 同事 那个 幺儿 你们 你 我 他 妈,客户直接问一下，那是你们的孩子吗？我说我哪儿像呢，长得不像那个同事他们妈妈呢？我到底比他大好多啊！你们说，我看起来比我实际年龄大好多岁了，你们来猜一猜我的实际年龄是多少。,"If the client asks you directly, is that your child? If I say I'm not like the one they grew up with, am I much older than him? If you say I look much younger than my actual age, you can guess how old I am."
wsc_train_audio_text.tsv.gz,cq00005507_134760_138270,cq00005507_134760_138270.wav,你们几点钟开到几点钟啊,你们,你们几点开始开到几点啊,What time do you start at?
wsc_train_audio_text.tsv.gz,cq00005313_24940_27470,cq00005313_24940_27470.wav,哦个人嗯不行嗯,个人,这个人不行了,This guy didn't walk.
wsc_train_audio_text.tsv.gz,cq00013039_50780_80780,cq00013039_50780_80780.wav,回手家滑对不起我真的有点锁好香啊快快手好香啊再来一下大泥巴配酸奶搭配酸奶简直都是入口即化我喜欢那个搭配没啥子文化有朋友说大泥巴蒸出来很好吃我们来告一下他说的大裂巴它已经趴了我们来加上一块纸为了保持更好的睡眠有道理来说那个新疆大泥巴哈哈今儿晚上吃的那个水饺子呀吃吧是为了保持更好的睡眠有道理这是本书吧呵呵呵谁来说那个新疆大列巴,朋友 那个 我们 它 我 他,回家洗手滑一下对不起我真的是有点喜欢那个味道太香了快点洗手再闻一下真的好好闻再来一次大面包配着酸奶简直就是入口即化我喜欢这种搭配没有什么文化有朋友说大面包蒸出来很好吃我们来告诉他他说的大裂巴已经凉了我们加一块纸为了保持更好的睡眠有道理来说那个新疆大面包哈哈哈今天晚上吃的那个水饺是为了保持更好的睡眠有道理这是书上怎么说的那个新疆大裂巴,"I'm sorry, I really like the taste a little too much. I just want to wash my hands and smell really good."
wsc_train_audio_text.tsv.gz,cq00010328_110_30110,cq00010328_110_30110.wav,大家好我是三方冰冰最近回来了很多车呀给你们看一下啊我们这些车子呢客户买过去以后呢也会选择去做些准备和美容但是我都会给他们推荐规划pro精面釉贵派plus面u呢也已经是七十五年大品牌了我不光是给你们推荐啊其实我自己也在用像这样的大灯呢它时间长了发布发黄而且很容易开裂出现裂纹时间长了它还会进水影响它的亮度和晚上的行车安全所以今天呢今天呢,自己 大家 他们 我们 你们 它 我,大家好，我叫三方冰冰，最近回来后发现有很多车，想给大家看看。这些车都是客户买的，他们通常会做一些保养和美容工作。我一般都会给他们推荐使用“规划PRO”、“精面釉”和“贵派PLUS”这几个牌子的美容产品。这些都是已经有75年历史的大品牌了。不只是给你们推荐，我自己也在用。比如这种大灯，用久了会变黄、容易开裂，还会有裂纹。时间长了还会进水，影响灯光的亮度，进而影响晚上开车的安全性。所以今天我想跟大家分享一下这个。,"Hello, I've been calling three-sided ice cream, and I recently came back and found a lot of cars I wanted to show you. These cars are all bought by customers, and they usually do some maintenance and beauty work."
wsc_train_audio_text.tsv.gz,cq00005458_254410_260480,cq00005458_254410_260480.wav,汤面确实顺滑了但这长度确实可以否得东哥有点尴尬,哥,汤面确实变得滑溜了，但这个长度确实有点长，东哥感觉有些尴尬。,"The face did become slippery, but the length was a bit long, and Tongo felt a bit embarrassed."
wsc_train_audio_text.tsv.gz,cq00010420_12870_24940,cq00010420_12870_24940.wav,打着品牌的旗号向不知情的客户收取高额的干货费海鲜大海又是啥子很神秘的技术今天我们就来满堂它,我们 它,打着品牌旗号向不知情的客户收取高额的干货费和海鲜费，海里又是什么神秘技术？今天我们就要揭开它的面纱。,"What is a mysterious technology called Hairi, which charges high freight and seafood fees to uninformed customers? Today we are going to uncover its faces."
wsc_train_audio_text.tsv.gz,cq00019048_111240_115260,cq00019048_111240_115260.wav,烧那个鸭子不要烧的太巴太巴了不好吃我再来吃了魔芋,那个 我,烧鸭子不要烧得太老了，太老了不好吃，我再过来吃魔芋。,"Don't burn your coconut too old, you're too old to eat, and I'll come back to eat the turkey."
wsc_train_audio_text.tsv.gz,cq00018585_28640_32030,cq00018585_28640_32030.wav,刚刚我个人diy的哈超辣有点碟,个人 我,刚才我自己做的火锅太辣了点,I just made my own turtles that were a little crazy.
wsc_train_audio_text.tsv.gz,cq00001796_140_30000,cq00001796_140_30000.wav,昨天在南门山遇到四个老头打麻将打完一圈儿过后咹其中有个老头儿就去上厕所上完厕所出来呀都完全忘了打麻将那回事直接都回去了另外三个老头儿呢等了三十几分儿钟没等到那个老都出去找他噻结果那三个老头儿都想不起来刚刚到底是哪个老头儿在跟他一路打麻将所以说呀岁月无情趁我们现在还年轻现在通讯有那么发达所以说呀我们一定要互相关注免得时间久了你忘了我我忘了你对不对嘛关注关注哈,老头儿 哪个 老头 那个 我们 你 我 他,昨天在南门山遇到四个老头打麻将，打完一圈过后，其中一个老头就去上厕所。上完厕所出来，他完全忘了打麻将的事，直接回家了。另外三个老头等了将近半小时，没等到那个人才出去找他。结果那三个老头也想不起来刚才到底是谁和他们一起打的麻将。所以啊，岁月无情，趁着我们现在还年轻，通讯这么发达，我们一定要互相关注，免得到时候你忘了我，我忘了你，对吧？关注一下哈。,"Yesterday in South Gate Hill, four elderly men were playing marijuana, and after a round, one of them went to the bathroom. When he got out of the toilet, he completely forgot about it and went straight home. The other three elderly people waited for almost half an hour, not waiting for the man to come out to him."
wsc_train_audio_text.tsv.gz,cq00011649_13730_16950,cq00011649_13730_16950.wav,十几个酒让你弄个露天烧烤撸起起,你,十几个朋友让你组织一个露天烧烤聚聚,Dozens of friends asked you to organize an outdoor barbecue party.
wsc_train_audio_text.tsv.gz,cq00001748_231040_233300,cq00001748_231040_233300.wav,那个嘛有点儿停不下来,那个,那个有点儿停不下来,That one won't stop for a while.
wsc_train_audio_text.tsv.gz,cq00005874_60790_73180,cq00005874_60790_73180.wav,钓鱼棚那些那么多钢丝发生啤酒整起噻此时的二哥碰见钢丝还比较拘束丝还比较拘束,哥,钓鱼棚里头有很多钢丝，上面挂着啤酒。当时二哥碰到这些钢丝时，还是有点拘束的。,"There was a lot of steel wire hanging from the shelf of the shark with beer on it. When the two brothers touched the wire, they were still a little tied up."
wsc_train_audio_text.tsv.gz,cq00003872_92510_110910,cq00003872_92510_110910.wav,结拜为夫妻生了一对龙凤胎后来那个张万昌个人家道中落最后只能沿街乞讨有一天他要饭都要到一家人屋头那家人都是他的前妻葛丁香的屋头,一家人 那个 家人 个人 他,结拜为夫妻后生了一对龙凤胎，后来张万昌家道中落，只能沿街乞讨。有一天，他在乞讨时来到了一家人的门口，而这户人家正是他前妻葛丁香的家。,"One day, he was begging at the door of a family, which was the home of his ex-wife Genghis Khan."
wsc_train_audio_text.tsv.gz,cq00009538_72780_85620,cq00009538_72780_85620.wav,但是公里数确实有点偏大现在这个车叫价比较也比较厉害你十五万五说十万也就是二点零的的话二点零的也就十五万你说你一点五t的哪里管得到嘛没跟你乱说十四卖不卖嘛,这个 你,但是公里数确实有点高，现在这辆车叫价比较高。你说十五万五千，说一万就是百分之二十的话，百分之二十也就是十五万。你说百分之十点五的，哪里够得上呢？没有骗你，十四万要不要买？,"But the number of kilometers is a little high, and now the car is more expensive. If you say 155,000, if you say ten thousand is twenty percent, if 20 percent is fifty thousand, and you say fifteen percent, where can you get it? Didn't you get fooled, if one hundred and forty thousand don't buy it?"
wsc_train_audio_text.tsv.gz,cq00009608_146000_157890,cq00009608_146000_157890.wav,啊想的特别多还真是的现在你正需要我的时候我不在你身边当你以后长大了懂事了如果那时候我再来陪你的话你还会不会需要我陪你自己应该都有自己的圈子了,自己 你 我,你想得太多了还真是这样，你现在正需要我的时候我不在你身边。等你以后长大了懂事了，如果那时候我再陪你的话，你还需不需要我陪自己，你应该已经有自己的朋友圈了吧。,"You think too much, but it's true that I'm not there for you when you need me right now. When you grow up, you'll realize that if I were with you again, you wouldn't need me anymore, you should have your own circle of friends."
wsc_train_audio_text.tsv.gz,cq00012180_83730_105770,cq00012180_83730_105770.wav,范哈尔呢还申请接待这个团长正儿八经帮了不少的忙范哈尔以前当过土匪之前我们讲了在当土匪的时候范哈尔也抢了很多乡亲后来他当了团长了放哈就干了一件让乡亲们啼笑皆非的事情那是件啥子事情呢关注我们下期我们接到聊到了,这个 我们 他,范哈尔还为接待这个团长正儿八经地帮了不少忙。范哈尔以前当过土匪，之前我们说过，在当土匪的时候，范哈尔也抢过很多乡亲。后来他当了团长，竟然干了一件让乡亲们哭笑不得的事情。那是什么事呢？关注我们下一期，我们会接着聊到这件事。,"Van Hal was also very helpful in hosting the group. Van Hal used to be a potter, as we have said before, when he was in the potter's wheel, Van Hal also stole many countrymen. Later, he became the leader of the group, and he did something that made the villagers laugh."
wsc_train_audio_text.tsv.gz,cq00005560_158040_160690,cq00005560_158040_160690.wav,它炸酱好细啊就是嗯嗯,它,它的炸酱做得很好，很细腻就是嗯嗯。,"Its fried chicken is very good, and it is very delicate."
wsc_train_audio_text.tsv.gz,cq00005723_82840_91030,cq00005723_82840_91030.wav,拿保证吗六种一个那个的大小都不好生耍大家都耍出不到我看你们两个啷个得了有用的,你们 那个 大家 我,拿保证吗六种一个那种的大小都不太好用，大家玩不到一起，我看你们俩能得到有用的东西吗？,"Can I guarantee that six of those sizes aren't very useful, you guys can't play together, so let's see if you two can get something useful?"
wsc_train_audio_text.tsv.gz,cq00014445_251090_259390,cq00014445_251090_259390.wav,可能倒多了不好意思没有没有关系哦没事没事没事没事没事刚刚服务员上错上菜上错了上到那个外国叔叔那边去了去了,服务员 那个 叔叔,可能是放多了点，不好意思哈，没事儿没事儿，刚才服务员上错菜了，把菜上错地方了，上到那个外国叔叔那边去了。,"Maybe it's a little too much, sorry, but that's okay, the waiter just got the wrong dish, put it in the wrong place, and went up to the foreign uncle."
wsc_train_audio_text.tsv.gz,cq00007867_39460_46000,cq00007867_39460_46000.wav,爽爽爽爽其实像那种生蚝啊到处都找得到嘛它那个独特之处呢都在于它那个蒜呢炒得特别的香,那个 它,爽爽爽爽其实就像那种生蚝啊，到处都能找到，它的独特之处就在于蒜炒得特别香。,"In fact, it's like that kind of green cheese that you can find everywhere, and its unique feature is that it has a special aroma."
wsc_train_audio_text.tsv.gz,cq00009675_351670_355580,cq00009675_351670_355580.wav,我上升了一位全部在底下盘起作业,我,我提升了一位，全部都在下面盘着工作。,"I raised one, and they were all working underneath."
wsc_train_audio_text.tsv.gz,cq00005826_99520_103090,cq00005826_99520_103090.wav,打扰了关注我们就关注我哎,我们 我,打扰一下，关注我们的话就关注我吧。,"If you are disturbing us, listen to our words and listen to me."
wsc_train_audio_text.tsv.gz,cq00015263_73040_87060,cq00015263_73040_87060.wav,再来看一下这个主卧室哇这个主卧室好宽哦那些家具家电绝对的高档凡凡再来看下这边主人家晚上一个人睡不着看电视吸烟耍的地方以及浴室室,个人 这个 人家,再来 look at 这个主卧，这个主卧真宽敞啊，里面的家具和电器绝对是高档货。再看这边，主人晚上一个人睡不着的时候，可以在这里看电视、抽烟或者休闲娱乐，还有就是洗手间。,"Look at this master bedroom, the master bedroom is really spacious, the furniture and electrical appliances inside are definitely high-end. Look at the other side, when the owner can't sleep alone at night, you can watch TV, smoke or have fun, and there is also a bathroom."
