sample_id,target_category,target_terms,input_file,source_file,utt_or_id,filename,text,matched_terms_original,text_length,analysis_note,model_1_output,model_2_output,model_3_output,translation_issue
SCPR_001,kinship,妈老汉儿 老汉儿 婆婆 老汉 妈 娘,train_9800,wsc_train_audio_text.tsv.gz,013165443988_ID2ls_56_8900,013165443988_ID2ls_56_8900.wav,求那些师傅啊张娘王娘李婆婆帮忙找七十岁以上的就是妈老汉儿做主,妈老汉儿 婆婆 师傅 娘,30,,,,,
SCPR_002,kinship,老汉儿 大姐 嫂子 老汉 姐,train_9800,wsc_train_audio_text.tsv.gz,013165531783_pydL0_4_6420,013165531783_pydL0_4_6420.wav,嫂子在扣你吗我一天是管不住他我喊大姐过过来制止他这摔摔摔老汉儿,老汉儿 大姐 嫂子 你 我 他,31,,,,,
SCPR_003,kinship,妈老汉儿 老汉儿 老汉 妈,train_9800,wsc_train_audio_text.tsv.gz,0131655215_y5LD4_109_7840,0131655215_y5LD4_109_7840.wav,所以说养成老习惯的看到老严来了他本人心中有个这个习惯甚至就是不是自己屋头的亲生妈老汉儿他,妈老汉儿 自己 这个 本人 他,44,,,,,
SCPR_004,kinship,两口子 婆娘 老子 娘,train_9800,wsc_train_audio_text.tsv.gz,sc0005379_507550_520900,sc0005379_507550_520900.wav,所以学到这个知识还是有好处别人两口子怄气你今天突然回去刚刚才进门才进院吧在小区门口就听到你婆娘的声音老子不得怕你死娃子随便你随便你,两口子 死娃子 老子 这个 别人 婆娘 你,65,,,,,
SCPR_005,kinship,女儿 婆娘 老子 娘,train_9800,wsc_train_audio_text.tsv.gz,sc1002993_25170_40670,sc1002993_25170_40670.wav,嘿老头头啷个回事我婆娘啷个杀了一个啊阿伦哪个飞到天上去了呀哎呀忙碌了一天又要结束了女儿先快点进棚棚嘿狗儿爬开老子关门了关了关紧回去我婆娘还在屋头给我炖猪脚杆我炖猪脚干,老子 哪个 老头 婆娘 女儿 我,83,,,,,
SCPR_006,kinship,老汉儿 老汉 妈,train_9800,wsc_train_audio_text.tsv.gz,01600008744_HbxQJ_18_7020,01600008744_HbxQJ_18_7020.wav,孩儿又不管妈不管老汉儿我简直有点想不通这个道理有啥子嘛,老汉儿 这个 我 妈,27,,,,,
SCPR_007,kinship,婆娘 妈 娘,train_9800,wsc_train_audio_text.tsv.gz,013165528200_N83ZB_100_8080,013165528200_N83ZB_100_8080.wav,说你瓜你就瓜半夜起来烧院把人家的婆娘你喊妈李百姓把我拉到,人家 婆娘 你 我 妈,28,,,,,
SCPR_008,kinship,老汉儿 老汉 妈,train_9800,wsc_train_audio_text.tsv.gz,013165464118_5J9OE_15_7140,013165464118_5J9OE_15_7140.wav,其实我对你也没得啥子要求的就像你看到的那个像我老汉儿对我妈恁个好就行了,老汉儿 那个 你 我 妈,35,,,,,
SCPR_009,kinship,婆娘 男人 娘,train_9800,wsc_train_audio_text.tsv.gz,016000205979_lv0DH_0_6960,016000205979_lv0DH_0_6960.wav,把钱交给婆娘管的男人大部分都没那出息你先不要骂我你仔仔细细听我跟你讲完,婆娘 男人 我 你,35,,,,,
SCPR_010,kinship,婆婆 阿姨 妈 姨,train_9800,wsc_train_audio_text.tsv.gz,013165436406_WEC3h_18_5900,013165436406_WEC3h_18_5900.wav,我婆婆妈也在楼上帮忙有点安慰安快阿姨,阿姨 婆婆 我 妈,18,,,,,
SCPR_011,kinship,妈妈 爸爸 妈 爸,train_9800,wsc_train_audio_text.tsv.gz,013165452999_EYfSL_12_5660,013165452999_EYfSL_12_5660.wav,再不开我宰的最少爸爸妈妈都在的多点嗯钱嗯,妈妈 爸爸 我,20,,,,,
SCPR_012,kinship,哥哥 妹妹 哥 妹,train_9800,wsc_train_audio_text.tsv.gz,01316549122_1j8YJ_18_5820,01316549122_1j8YJ_18_5820.wav,高兴的很高不高兴哪门不高兴哥哥妹妹都高兴,妹妹 哥哥,20,,,,,
SCPR_013,kinship,大姐 爸爸 姐 爸,train_9800,wsc_train_audio_text.tsv.gz,016000196724_uP1ag_15_5660,016000196724_uP1ag_15_5660.wav,一手将鱼是是是我晓得你老大姐的爸爸没得落户,大姐 爸爸 你 我,21,,,,,
SCPR_014,kinship,爸爸 阿姨 姨 爸,train_9800,wsc_train_audio_text.tsv.gz,01316545588_fGTkE_20_8260,01316545588_fGTkE_20_8260.wav,爸爸好爸爸哎来了要来要来了小米阿姨你好呀好乖哦,阿姨 爸爸 你,23,,,,,
SCPR_015,kinship,妹妹 孙子 妈 妹,train_9800,wsc_train_audio_text.tsv.gz,013165490615_Ga45s_9_5560,013165490615_Ga45s_9_5560.wav,我让我妈再给你生个孙子啷么样啊给你生个妹妹多好嘛,妹妹 孙子 你 我 妈,24,,,,,
SCPR_016,kinship,爸爸 老汉 妈 爸,train_9800,wsc_train_audio_text.tsv.gz,sc0000369_1767450_1771660,sc0000369_1767450_1771660.wav,只有回去找爸爸妈发泄把妈老汉吃死了我看有啥办啥办,爸爸 老汉 妈 我,24,,,,,
SCPR_017,kinship,侄儿 侄女 妹妹 姐姐 妹 姐,train_9800,wsc_train_audio_text.tsv.gz,013165439418_LCp5b_123_6680,013165439418_LCp5b_123_6680.wav,现在你跟你亲生姐姐亲生妹妹侄女侄儿你这样子该让一个,妹妹 侄女 姐姐 侄儿 你,25,,,,,
SCPR_018,kinship,哥哥 哥 妈 娘,train_9800,wsc_train_audio_text.tsv.gz,013165457409_curF4_21_7160,013165457409_curF4_21_7160.wav,我把我干娘妈喝的乐乐的转你把哥哥喝的乐乐的转哦你硬是,哥哥 你 娘 我 妈,26,,,,,
SCPR_019,kinship,哥哥 妈妈 哥 妈,train_9800,wsc_train_audio_text.tsv.gz,013165476762_6sj2R_43_9580,013165476762_6sj2R_43_9580.wav,耗子哥哥我把妈妈找回来了我还会游人嘞你看我还会这样丢,妈妈 哥哥 你 我,26,,,,,
SCPR_020,kinship,妈妈 姊妹 弟兄 爸爸 妈 妹 弟 爸,train_9800,wsc_train_audio_text.tsv.gz,013165471203_y2Zd7_14_6400,013165471203_y2Zd7_14_6400.wav,这种情就包括给爸爸妈妈的感情给弟兄姊妹的感情朋友的感情,朋友 姊妹 妈妈 爸爸 弟兄,27,,,,,
SCPR_021,kinship,爸爸 阿姨 姨 爸,train_9800,wsc_train_audio_text.tsv.gz,013165505776_DZVcT_28_6500,013165505776_DZVcT_28_6500.wav,不是我爸爸拿回来我爸爸拿回的嗯不是是我阿姨让父亲怎么说,阿姨 爸爸 我,27,,,,,
SCPR_022,kinship,哥哥 妹妹 哥 妹,train_9800,wsc_train_audio_text.tsv.gz,016000153541_OfISW_0_6420,016000153541_OfISW_0_6420.wav,没上班这个这个日子我真的是没得法过都在哥哥这里住吗妹妹,妹妹 这个 哥哥 我,27,,,,,
SCPR_023,kinship,妹妹 姑妈 姨妈 妈 妹 姐 姨,train_9800,wsc_train_audio_text.tsv.gz,sc0029502_461370_469450,sc0029502_461370_469450.wav,喝了茶薛姨妈才要人告诉宝钗凤姐连忙拦住说姑妈不必告诉宝妹妹,姑妈 妹妹 姨妈 姐,29,,,,,
SCPR_024,kinship,哥哥 姐姐 哥 姐,train_9800,wsc_train_audio_text.tsv.gz,013165473230_cGmub_16_6440,013165473230_cGmub_16_6440.wav,我们这边都是生的女娃娃啦因为我的那些哥哥还有其他的另外的姐姐哈,女娃娃 哥哥 我们 姐姐 我 他,31,,,,,
SCPR_025,kinship,叔叔 妈妈 叔 妈,train_9800,wsc_train_audio_text.tsv.gz,sc0032101_811470_819150,sc0032101_811470_819150.wav,突然阁楼里传来一个小正太的声音妈妈叔叔刚才上车的时候缺的是那条腿,叔叔 妈妈,32,,,,,
SCPR_026,kinship,叔叔 阿姨 叔 姨,train_9800,wsc_train_audio_text.tsv.gz,013165460027_zVHFo_83_9200,013165460027_zVHFo_83_9200.wav,叔叔还在山下帮忙没有回来阿姨继续在草地里守着自家的牛叫我下次再来上班,阿姨 叔叔 自家 我,34,,,,,
SCPR_027,kinship,两弟兄 嫂嫂 弟兄 弟,train_9800,wsc_train_audio_text.tsv.gz,013165513047_YaNCS_79_9040,013165513047_YaNCS_79_9040.wav,嫂嫂怎么样怎么样今日回来之时为什么不等着我武松归家我们是弟兄亲弟兄就这么两弟兄相依为命我,两弟兄 我们 嫂嫂 弟兄 我,44,,,,,
SCPR_028,kinship,妈妈 爸爸 妈 爸,train_9800,wsc_train_audio_text.tsv.gz,sc0029674_173090_183390,sc0029674_173090_183390.wav,那张丽的爸爸妈妈呢都是成都市的政府干部好来源于政府家庭她从小呢这个家教也非常严好她以前喃呢,这个 妈妈 爸爸 她,45,,,,,
SCPR_029,kinship,妈妈 爸爸 妈 爸,train_9800,wsc_train_audio_text.tsv.gz,013165507657_wjZVF_2_121640,013165507657_wjZVF_2_121640.wav,Um妈妈妈妈啊啦啦啦妈妈谢谢OhUm嗯Um嗯好的不是Um爸爸嗯不是快点AUm来好Yeah嗯加油嗯拜拜嗯Um好OhUm,妈妈 爸爸,58,,,,,
SCPR_030,kinship,叔叔 阿姨 叔 姨,train_9800,wsc_train_audio_text.tsv.gz,013165520485_jRXB2_13_20320,013165520485_jRXB2_13_20320.wav,哎呀都闹着嘛家里面就是真的那就哎呀真的是都不好意思了他真的走了一分钟都没开了走啊叔叔阿姨你们保保重身体好在家保重身体,叔叔阿姨 你们 他,58,,,,,
SCPR_031,solidarity,兄弟伙 兄弟 粉丝,train_9800,wsc_train_audio_text.tsv.gz,cq00014281_148800_162450,cq00014281_148800_162450.wav,正常挺好跟你说旁边那个兄弟伙哈我粉丝我也在打招呼反正那个也吃不完了我哈在乡上我都走了好我我走了我走了今天好点我知道了好拜拜好诶新年快乐哈新年快乐我走了好拜拜好,兄弟伙 粉丝 那个 你 我,79,,,,,
SCPR_032,solidarity,兄弟伙 兄弟,train_9800,wsc_train_audio_text.tsv.gz,cq00030430_101300_107840,cq00030430_101300_107840.wav,说嘞些你兄弟伙恁个多一个臭点儿就行了噻现在不好借钱喽,兄弟伙 你,26,,,,,
SCPR_033,solidarity,兄弟伙些 兄弟伙 兄弟 我们,train_9800,wsc_train_audio_text.tsv.gz,cq0102752_4760_30680,cq0102752_4760_30680.wav,又一个楼盘降价了都是我收了房子之前春节的时候单价一万二现在单价只要一万两房总价七十口三房八十几口四房一百一十几棵开发商那次我真的是下雪饼之前为什么我不要拍太贵了现在降价了我觉得值得了兄弟伙些我觉得这次我们要开发商弄痛而且还可以生分期以省分期,兄弟伙些 我们 我,120,,,,,
SCPR_034,solidarity,兄弟 大家 我们,train_9800,wsc_train_audio_text.tsv.gz,009590039624_Hru4p_111_8140,009590039624_Hru4p_111_8140.wav,就拿给我们这俩师兄弟大家了吗所以今天小师妹一出来,兄弟 大家 我们 妹,24,,,,,
SCPR_035,solidarity,大家 朋友 粉丝,train_9800,wsc_train_audio_text.tsv.gz,0160002962_LcdR1_0_5980,0160002962_LcdR1_0_5980.wav,抖音上面的朋友大家好首先给各位粉丝道个歉对不起哈,粉丝 大家 朋友,24,,,,,
