ID,四川话原句,称谓,命中称谓,称谓类型,称谓类型中文,模型1输出,模型2输出,模型3输出,称谓翻译结果,错误类型,分析备注,input_file,utt_or_id,filename,source_file,matched_terms_original,text_length
ADDR_001,所以说养成老习惯的看到老严来了他本人心中有个这个习惯甚至就是不是自己屋头的亲生妈老汉儿他,妈老汉儿,妈老汉儿 老汉儿 老汉 妈,kinship,亲属称谓,,,,,,,train_9800,0131655215_y5LD4_109_7840,0131655215_y5LD4_109_7840.wav,wsc_train_audio_text.tsv.gz,妈老汉儿 自己 这个 本人 他,44
ADDR_002,嫂子在扣你吗我一天是管不住他我喊大姐过过来制止他这摔摔摔老汉儿,老汉儿,老汉儿 老汉 大姐 嫂子,kinship,亲属称谓,,,,,,,train_9800,013165531783_pydL0_4_6420,013165531783_pydL0_4_6420.wav,wsc_train_audio_text.tsv.gz,老汉儿 大姐 嫂子 你 我 他,31
ADDR_003,其实我对你也没得啥子要求的就像你看到的那个像我老汉儿对我妈恁个好就行了,老汉儿,老汉儿 老汉 妈,kinship,亲属称谓,,,,,,,train_9800,013165464118_5J9OE_15_7140,013165464118_5J9OE_15_7140.wav,wsc_train_audio_text.tsv.gz,老汉儿 那个 你 我 妈,35
ADDR_004,你老汉儿不傻眼泪只是有点儿发披风哟西,老汉儿,老汉儿 老汉,kinship,亲属称谓,,,,,,,train_9800,013165533303_1AfVc_22_5780,013165533303_1AfVc_22_5780.wav,wsc_train_audio_text.tsv.gz,老汉儿 你,18
ADDR_005,老汉儿天气越来冷了哈是农村比城头要低两对儿,老汉儿,老汉儿 老汉,kinship,亲属称谓,,,,,,,train_9800,016000181362_uIDYs_5_5900,016000181362_uIDYs_5_5900.wav,wsc_train_audio_text.tsv.gz,老汉儿,21
ADDR_006,哎呀娃娃对不对嘛脱脂开汗其实老汉儿也着急坏说转来,老汉儿,老汉儿 老汉,kinship,亲属称谓,,,,,,,train_9800,01316552094_2CnlA_103_6100,01316552094_2CnlA_103_6100.wav,wsc_train_audio_text.tsv.gz,老汉儿 娃娃,24
ADDR_007,说你瓜你就瓜半夜起来烧院把人家的婆娘你喊妈李百姓把我拉到,婆娘,婆娘 妈,kinship,亲属称谓,,,,,,,train_9800,013165528200_N83ZB_100_8080,013165528200_N83ZB_100_8080.wav,wsc_train_audio_text.tsv.gz,人家 婆娘 你 我 妈,28
ADDR_008,所以学到这个知识还是有好处别人两口子怄气你今天突然回去刚刚才进门才进院吧在小区门口就听到你婆娘的声音老子不得怕你死娃子随便你随便你,婆娘,婆娘 两口子,kinship,亲属称谓,,,,,,,train_9800,sc0005379_507550_520900,sc0005379_507550_520900.wav,wsc_train_audio_text.tsv.gz,两口子 死娃子 老子 这个 别人 婆娘 你,65
ADDR_009,嘿老头头啷个回事我婆娘啷个杀了一个啊阿伦哪个飞到天上去了呀哎呀忙碌了一天又要结束了女儿先快点进棚棚嘿狗儿爬开老子关门了关了关紧回去我婆娘还在屋头给我炖猪脚杆我炖猪脚干,婆娘,婆娘 女儿,kinship,亲属称谓,,,,,,,train_9800,sc1002993_25170_40670,sc1002993_25170_40670.wav,wsc_train_audio_text.tsv.gz,老子 哪个 老头 婆娘 女儿 我,83
ADDR_010,求那些师傅啊张娘王娘李婆婆帮忙找七十岁以上的就是妈老汉儿做主,妈老汉儿,妈老汉儿 老汉儿 老汉 婆婆 妈,kinship,亲属称谓,,,,,,,train_9800,013165443988_ID2ls_56_8900,013165443988_ID2ls_56_8900.wav,wsc_train_audio_text.tsv.gz,妈老汉儿 婆婆 师傅 娘,30
ADDR_011,第二天上妆更服帖耶你个婆娘还懂得享受啊啊,婆娘,婆娘,kinship,亲属称谓,,,,,,,train_9800,016000150401_AMRec_10_5660,016000150401_AMRec_10_5660.wav,wsc_train_audio_text.tsv.gz,婆娘 你,20
ADDR_012,嗯嗯多少整哎呀哎做起简单好生学哦说了我找婆娘要得,婆娘,婆娘,kinship,亲属称谓,,,,,,,train_9800,cq00019515_228850_237210,cq00019515_228850_237210.wav,wsc_train_audio_text.tsv.gz,婆娘 我,24
ADDR_013,再批话惨你两耳屎来堂客吃饭还是热和的搞快点吃等下冷噶了了了,堂客,堂客,kinship,亲属称谓,,,,,,,train_9800,01600022157_g21IE_2_8720,01600022157_g21IE_2_8720.wav,wsc_train_audio_text.tsv.gz,堂客 你,29
ADDR_014,哪里的酒美心哦我中午没得没吃酒是哪个老杂皮在和你堂客在吃我劝都劝不住,堂客,堂客,kinship,亲属称谓,,,,,,,train_9800,013165524502_Lzi9R_13_7340,013165524502_Lzi9R_13_7340.wav,wsc_train_audio_text.tsv.gz,堂客 哪个 你 我,34
ADDR_015,这个跟工大建那个堂客赖上了各人心头都有点着急生怕百姓误会了正在那个时候从屋头就出来一个老者把堂客都往屋头推都说吹点儿进屋去不要在那里丢人了然后就给跟公达说了个牙呀请进一步说话,堂客,堂客,kinship,亲属称谓,,,,,,,train_9800,cq0040675_338870_360780,cq0040675_338870_360780.wav,wsc_train_audio_text.tsv.gz,堂客 那个 这个 各人,87
ADDR_016,葫芦娃葫芦娃一个挂上七个藤啦啦啦哎老婆你咋求妈妈回去住两天屋头去住两天,老婆,老婆 妈妈 妈,kinship,亲属称谓,,,,,,,train_9800,cq0054301_100_11650,cq0054301_100_11650.wav,wsc_train_audio_text.tsv.gz,妈妈 老婆 你,35
ADDR_017,可以照顾妈妈我跟婆婆两个人就来砍油菜,婆婆,婆婆 妈妈 妈,kinship,亲属称谓,,,,,,,train_9800,013165439115_vAlRS_1_5960,013165439115_vAlRS_1_5960.wav,wsc_train_audio_text.tsv.gz,婆婆 妈妈 个人 我,18
ADDR_018,我婆婆妈也在楼上帮忙有点安慰安快阿姨,婆婆,婆婆 阿姨 妈,kinship,亲属称谓,,,,,,,train_9800,013165436406_WEC3h_18_5900,013165436406_WEC3h_18_5900.wav,wsc_train_audio_text.tsv.gz,阿姨 婆婆 我 妈,18
ADDR_019,李婆婆哦嘿人家觉得娃娃对咋子咹回来看爸嘛哎呀想到我妈他们那样的,婆婆,婆婆 爸 妈,kinship,亲属称谓,,,,,,,train_9800,013165487319_QdZSk_74_7660,013165487319_QdZSk_74_7660.wav,wsc_train_audio_text.tsv.gz,他们 人家 婆婆 娃娃 我 爸 妈,31
ADDR_020,一手将鱼是是是我晓得你老大姐的爸爸没得落户,爸爸,爸爸 大姐 爸,kinship,亲属称谓,,,,,,,train_9800,016000196724_uP1ag_15_5660,016000196724_uP1ag_15_5660.wav,wsc_train_audio_text.tsv.gz,大姐 爸爸 你 我,21
