ID,四川话原句,称谓,en_gold_human,pred_english_lora_mbart,model_address_rendering,error_label,称谓类型,称谓类型中文,auto_note,标注理由,人工复核
ADDR_001,所以说养成老习惯的看到老严来了他本人心中有个这个习惯甚至就是不是自己屋头的亲生妈老汉儿他,妈老汉儿,parents,"So he said that he had a habit in his own mind, even if it was not his own home.",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“妈老汉儿”应体现为“parents”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_002,嫂子在扣你吗我一天是管不住他我喊大姐过过来制止他这摔摔摔老汉儿,老汉儿,dad,"My sister is holding you? I can't handle him one day, and I call my grandmother to stop him.",grandmother,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“grandmother”，说明它没有完全省略称谓；但该表达与人工标注“dad”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_003,其实我对你也没得啥子要求的就像你看到的那个像我老汉儿对我妈恁个好就行了,老汉儿,dad,"In fact, I don't have anything to ask of you, like the one you saw, like my old man, is good for my mother.",old man,Preserved,kinship,亲属称谓,matches human target or accepted synonym,模型译文中出现了“old man”，与人工标注“dad”相同或属于可接受近义译法；因此判断为保留了“老汉儿”的主要称谓/语用功能。,
ADDR_004,你老汉儿不傻眼泪只是有点儿发披风哟西,老汉儿,dad,"You don't have tos, you just have a little bit of tears.",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“老汉儿”应体现为“dad”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_005,老汉儿天气越来冷了哈是农村比城头要低两对儿,老汉儿,dad,"It's getting cold, it's two times lower in the country than in the city.",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“老汉儿”应体现为“dad”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_006,哎呀娃娃对不对嘛脱脂开汗其实老汉儿也着急坏说转来,老汉儿,dad,"Oh, isn't it right to get rid of fat and sweat?",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“老汉儿”应体现为“dad”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_007,说你瓜你就瓜半夜起来烧院把人家的婆娘你喊妈李百姓把我拉到,婆娘,wife,"When you say you're going to get up in the middle of the night and burn the house, you call the people and drag me to the house.",,Omitted,kinship,亲属称谓,no clear English rendering of the target address term,人工标注认为“婆娘”应体现为“wife”，但模型译文中没有明显对应的人称称谓或近义表达；因此判断为称谓被省略。,
ADDR_008,所以学到这个知识还是有好处别人两口子怄气你今天突然回去刚刚才进门才进院吧在小区门口就听到你婆娘的声音老子不得怕你死娃子随便你随便你,婆娘,wife,"So it's good to learn this knowledge, because you're both angry and angry. You're going home today, and you've just entered the house. At the door of the neighborhood, you hear your grandmother's voice.",grandmother,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“grandmother”，说明它没有完全省略称谓；但该表达与人工标注“wife”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_009,嘿老头头啷个回事我婆娘啷个杀了一个啊阿伦哪个飞到天上去了呀哎呀忙碌了一天又要结束了女儿先快点进棚棚嘿狗儿爬开老子关门了关了关紧回去我婆娘还在屋头给我炖猪脚杆我炖猪脚干,婆娘,wife,"Hey old man, what's going on? My grandmother's killing a man, who's flying to heaven? Oh, the day's work is over, my daughter, hurry up and go to the shelter.",grandmother,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“grandmother”，说明它没有完全省略称谓；但该表达与人工标注“wife”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
ADDR_010,求那些师傅啊张娘王娘李婆婆帮忙找七十岁以上的就是妈老汉儿做主,妈老汉儿,parents,"Ask those who are masters, to the master of the master's house, who is over seventy years old.",master,Other,kinship,亲属称谓,wrong or shifted person/address rendering,模型译文中出现了“master”，说明它没有完全省略称谓；但该表达与人工标注“parents”不一致，属于称谓类别、人物关系、性别/身份或情感色彩发生偏移。,
